Feature,Set A Normal,Set A Batch,Set A SGD,Set B Normal,Set B Batch,Set B SGD
Intercept,6890.565959977099,6890.565959977044,6892.550229410297,6890.565959977101,6890.565959977043,6921.631458413872
Feature 1,8351.695965476005,5905.3122046685985,5896.412097284654,6562.963101745445,6481.789106661611,6510.051969707482
Feature 2,-108.20702200007736,3111.3131741200364,3119.5951086284995,-207.6309198131712,-172.8224247064891,-201.2790393635021
Feature 3,-17.175553150938185,-969.206374103088,-974.1446483031045,222.99451900218884,226.8444097896363,284.5281352268548
sin(hour),-47.41415877829133,-50.46000571248974,-48.51437560077435,374.35911673737337,398.5592525305032,434.5092341060005
cos(hour),-416.889865587565,-404.1625078619835,-412.564658099098,-1900.7230958791024,-1960.6537121995664,-2021.6236601228861
