datetime,ac_power,dc_power,ambient_temp,module_temp,irradiation,hour,sw_radiation,temp_2m,cloud_cover,sw_radiation_kw,residual,absolute_residual
2020-06-14 14:00:00,20642.760714275,211340.34821725,27.68898726428572,52.58246293214286,0.78646324,14,679.0,32.2,98,0.679,-1719.7563485669452,1719.7563485669452
2020-06-12 11:00:00,18107.11383955,185077.0089295,25.786635447619048,39.33133492738095,0.5655293546190476,11,392.0,28.7,99,0.392,1712.8120987100847,1712.8120987100847
2020-06-14 10:00:00,20554.06383935,210268.85714075,26.335831154761905,41.428593069047615,0.6667824055357143,10,415.0,30.6,95,0.415,1460.2568506518182,1460.2568506518182
2020-06-12 10:00:00,15273.406696525,155981.35714275,25.27437393333333,37.5711939,0.4752335521666666,10,306.0,27.9,100,0.306,1429.5477284381068,1429.5477284381068
2020-06-11 11:00:00,16460.245982125,168136.1651785,26.56749265119048,40.45465890119047,0.5188194190357143,11,317.0,27.9,100,0.317,1368.9380446025443,1368.9380446025443
2020-06-11 12:00:00,17189.8758929,175645.035714,27.466146833333333,42.31474871666666,0.5472910138333332,12,392.0,28.5,100,0.392,1295.4427411985853,1295.4427411985853
2020-06-15 14:00:00,14634.194643025,149544.312501,27.346833866666667,38.91272168333333,0.4553930714999999,14,631.0,34.1,99,0.631,1292.976514306236,1292.976514306236
2020-06-11 14:00:00,17578.945982225,179723.120535,28.5833964,43.02808161666666,0.5636008111666666,14,369.0,28.8,100,0.369,1291.6869086845782,1291.6869086845782
2020-06-17 13:00:00,18241.05714285,186492.8616075,28.77205324404762,43.960901871428575,0.587629486095238,13,432.0,33.9,100,0.432,1256.3560678687318,1256.3560678687318
2020-06-13 10:00:00,22417.38705315,229636.093743,27.98847389523809,48.33210565,0.7443630204880952,10,651.0,30.7,99,0.651,1248.990949280611,1248.990949280611
