Model,Feature Set,All Hours RMSE,Daytime RMSE
Normal Equation,Set A,539.4641791983903,704.460820331153
Normal Equation,Set B,2620.940502632709,3409.5028374005446
Batch GD,Set A,714.8647429667099,927.8253083062582
Batch GD,Set B,2614.879336944128,3402.426319690992
SGD,Set A,712.1080802862451,924.1675051182232
SGD,Set B,2573.603557623928,3341.310383428816
